ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
1,3045,Q*Bert Rebooted,LOOT Interactive,2015.0,2015-02-17,Gonzo Games,Action,"PS Plus, PS Now",109.0,,,nan,0,0,http://www.sidelineamusements.com/qbert/
2,3051,Q*Bert Rebooted (EU),LOOT Interactive,2015.0,2015-07-22,LOOT Interactive,Action,PS Now,127.0,Digital only,,nan,0,0,http://www.sidelineamusements.com/qbert/
3,6703,Q.U.B.E. 2,Trapped Nerve Games,2018.0,2018-03-13,Toxic Games,"Puzzle, Platformer",,2682.88,Digital only,,nan,0,0,http://qube-game.com/
4,3403,Q.U.B.E. Director's Cut,GRIP Digital,2015.0,2015-07-21,Toxic Games,"Puzzle, Platformer",PS Plus,1945.6,Digital only,,3-4,0,0,http://qube-game.com/
5,13176,Quake (PS4),Bethesda Softworks,2021.0,2021-08-19,"MachineGames, Nightdive Studios, id Software",First Person Shooter,,NA,Physical and Digital,,nan,0,0,https://bethesda.net/en/game/quake
6,-2913,Quantic Pinball,,,,,,,NA,,,nan,0,0,https://bethesda.net/en/game/quake
7,-4119,Quantum Error,,,,,,,NA,,,nan,0,0,https://quantumerror.games/
8,-4106,Quantum League,,,,,,,NA,,,nan,0,0,https://quantum-league.com/
9,12156,Quantum Replica,PQube,2021.0,2021-05-14,ON3D Studios,Stealth,,NA,Digital only,PS4 Pro,nan,0,0,http://pqube.co.uk/quantum-replica/
10,12157,Quantum Replica (EU),PQube,2021.0,2021-05-14,ON3D Studios,Stealth,,NA,Digital only,PS4 Pro,nan,0,0,http://pqube.co.uk/quantum-replica/
11,10196,Quar: Infernal Machines,Hoplite Research,2019.0,2019-05-15,Funbox Media,"Strategy, Turn Based",,1904.64,Physical and Digital,"PlayStation VR Compatible, PlayStation Camera Compatible, PlayStation Move Compatible",nan,0,0,http://www.funboxmedia.co.uk/quar-battle-for-gate-18-ps4-psvr/
12,8045,Quar: Infernal Machines (EU),Hoplite Research,2019.0,2019-03-15,Funbox Media,"Strategy, Turn Based",,1914.88,Physical and Digital,"PlayStation VR Compatible, PlayStation Camera Compatible, PlayStation Move Compatible",nan,0,0,http://www.funboxmedia.co.uk/quar-battle-for-gate-18-ps4-psvr/
13,9192,Qubit's Quest,Performance Designed Products,2019.0,2019-11-01,Two Okes Entertainment,Platformer,,3553.28,Physical and Digital,,nan,0,0,https://mars.pdp.com/QubitsQuest
14,-5531,QUByte Classics - Brave Battle Saga: The Legend of the Magic Warrior,,,,,,,NA,,,nan,0,0,https://mars.pdp.com/QubitsQuest
15,-5530,QUByte Classics - Canon: Legends of the New Gods,,,,,,,NA,,,nan,0,0,https://mars.pdp.com/QubitsQuest
16,-5529,QUByte Classics - The Humans,,,,,,,NA,,,nan,0,0,https://mars.pdp.com/QubitsQuest
17,13861,QUByte Classics - The Immortal by PIKO,QUByte Interactive,2021.0,2021-10-28,Piko Interactive,Action-Adventure,,NA,Digital only,,nan,0,0,
18,8145,Queen's Quest 2: Stories of Forgotten Past,Artifex Mundi,2019.0,2019-02-22,Brave Giant,"Adventure, Point & Click",,1710.08,Digital only,,3-4,0,0,https://www.artifexmundi.com/g/queens-quest-2-stories-forgotten-past/
19,8557,Queen's Quest 3: The End of Dawn,Artifex Mundi,2019.0,2019-06-11,Brave Giant,"Adventure, Point & Click",,1884.16,Digital only,,3-4,0,0,https://www.artifexmundi.com/g/queens-quest-3-end-dawn/
20,9103,Queen's Quest 4: Sacred Truce,Artifex Mundi,2019.0,2019-10-08,Brave Giant,"Adventure, Point & Click",,2068.48,Digital only,,3-4,0,0,https://www.artifexmundi.com/g/queens-quest-4-sacred-truce/
21,10741,Quest Hunter,2 Zombie Games,2020.0,2020-09-04,2 Zombie Games,"Action-RPG, Role Playing",,1699.84,Digital only,,nan,0,0,http://2zombie.com/questhunter/
22,5029,Quest of Dungeons,Upfall Studios,2017.0,2017-01-17,Upfall Studios,"Roguelite, Role Playing, Turn Based, Dungeon Crawler",,68.0,Digital only,,nan,0,0,http://www.questofdungeons.com/
23,14140,Quick Mafs (EU) (PS4),Webnetics,2021.0,2021-11-20,Webnetics,,,NA,Digital only,,0-1,0,0,https://publisher.webnetic.sk/ourportfolio/quick-mafs/
24,14142,Quick Mafs (PS4),Webnetics,2021.0,2021-11-20,Webnetics,,,NA,Digital only,,0-1,0,0,https://publisher.webnetic.sk/ourportfolio/quick-mafs/
25,3351,Quiplash,Jackbox Games,2015.0,2015-06-30,Jackbox Games,Party,,197.0,Digital only,,0-1,0,0,http://jackboxgames.com/project/quiplash/
26,11332,Quiplash 2 Interlashional: The Say Anything Party Game!,Jackbox Games,2020.0,2020-12-03,Jackbox Games,Party,,564.0,Digital only,,nan,0,0,https://www.jackboxgames.com/quiplash-two-interlashional/
27,5434,Quiz Night Tonight!,Mardonpol,2017.0,2017-05-02,Mardonpol,Educational & Trivia,,788.0,Digital only,"PlayStation VR Required, PlayStation Camera Required, PlayStation Move Compatible",nan,0,0,http://mardonpol.com/games/
28,4408,Qurare: Magic Library,Smilegate Megaport,2016.0,2016-09-06,iO Studio,Collectable Card Game,,3686.4,Digital only,,nan,0,0,
29,3956,Qurare: Magic Library (Asia),Smilegate Megaport,2016.0,2016-01-28,iO Studio,Collectable Card Game,,4608.0,Digital only,,nan,0,0,
30,13113,Q-YO Blaster,Forever Entertainment,2021.0,2021-09-03,"Team Robot Black Hat, Forever Entertainment",Shoot 'em up,,NA,Digital only,,nan,0,0,
31,13114,Q-YO Blaster (EU),Forever Entertainment,2021.0,2021-09-03,"Team Robot Black Hat, Forever Entertainment",Shoot 'em up,,NA,Digital only,,nan,0,0,
32,4692,Waddle Home,Archiact,2016.0,2016-10-13,Archiact,Puzzle,,511.0,Digital only,"PlayStation VR Required, PlayStation Camera Required, PlayStation Move Compatible",nan,0,0,https://www.archiactvr.com/games/waddle-home/
33,7376,Wailing Heights,Outsider Games,2018.0,2018-08-14,Outsider Games,"Adventure, Point & Click",,5222.4,Digital only,,nan,0,0,http://www.wailingheights.com/
34,7108,Waking Violet,MixedBag Games,2018.0,2018-07-03,MixedBag Games,Puzzle,,385.0,Digital only,,nan,0,0,
35,6975,"Walden, a game",USC Games Publishing,2018.0,2018-05-15,USC Game Innovation Lab,"Open World, Survival",,1484.8,Digital only,,nan,0,0,https://www.waldengame.com
36,13639,Wallachia: Reign of Dracula,Storybird Studio,2021.0,2021-10-02,Migami Games,,,NA,Digital only,,nan,0,0,
37,13638,Wallachia: Reign of Dracula (EU),"Storybird Studio, PixelHeart",2021.0,2021-10-02,Migami Games,,,NA,Physical and Digital,,nan,0,0,
38,8905,Waltz of the Wizard: Extended Edition,Aldin Dynamics,2019.0,2019-08-27,Aldin Dynamics,Action,,1146.88,Digital only,"PlayStation VR Required, PlayStation Camera Required, PlayStation Move Required",nan,0,0,
39,4624,Wand Wars,Moonradish,2016.0,2016-09-28,Moonradish,Action,,276.0,Digital only,,nan,0,0,http://wandwars.com/
40,3308,Wander,Wander MMO,2015.0,2015-06-04,Wander MMO,Adventure,,4608.0,Digital only,,nan,0,0,http://www.wanderthegame.com/
41,3303,Wander (EU),Wander MMO,2015.0,2015-06-04,Loki Davison,Adventure,,4597.76,Digital only,,nan,0,0,http://www.wanderthegame.com/
42,5004,Wanderjahr,Corecell Technology,2016.0,2016-12-21,Workyrie,"Action-RPG, Role Playing",,4096.0,Digital only,,nan,0,0,https://sites.google.com/a/workyrie.com/wanderhahr_press/
43,8025,Wandersong,Humble Games,2019.0,2019-01-22,Greg Lobanov,Adventure,,2099.2,Digital only,,nan,0,0,http://wanderso.ng/
44,8026,Wandersong (EU),Humble Games,2019.0,2019-01-22,Greg Lobanov,Adventure,,2099.2,Digital only,,nan,0,0,http://wanderso.ng/
45,9130,Wands,Cortopia Studios,2019.0,2019-10-15,Cortopia Studios,Action,,989.0,Digital only,"PlayStation VR Required, PlayStation Camera Required, PlayStation Move Compatible",nan,0,0,https://www.wandsgame.com/
46,9129,Wands (EU),Cortopia Studios,2019.0,2019-10-09,Cortopia Studios,Action,,989.0,Digital only,"PlayStation VR Required, PlayStation Camera Required, PlayStation Move Compatible",nan,0,0,https://www.wandsgame.com/
47,-4834,War Mongrels (PS4),,,,,,,NA,,,nan,0,0,https://www.warmongrels.com/
48,3818,War of the Monsters,Sony Computer Entertainment,2015.0,2015-12-05,LightBox Interactive,Fighting,,688128.0,Digital only,,4-5,0,0,
49,8440,War Tech Fighters,Blowfish Studios,2019.0,2019-06-27,Drakkar Dev,"Third Person Shooter, Mech",,2027.52,Physical and Digital,,nan,0,0,http://www.drakkardev.com/projects/wtf/
50,8201,War Theatre,Arcade Distillery,2019.0,2019-03-19,Arcade Distillery,"Strategy, Turn Based",Cross-Buy,659.0,Digital only,,nan,0,0,
51,8867,War Theatre (Asia),eastasiasoft,2019.0,2019-08-23,Arcade Distillery,"Strategy, Turn Based",,658.0,Digital only,,nan,0,0,https://www.eastasiasoft.com/games/War-Theatre
52,9894,War Theatre (EU),Arcade Distillery,2020.0,2020-02-04,Arcade Distillery,"Strategy, Turn Based",,483.0,Physical and Digital,,nan,0,0,
53,9630,War Theatre: Blood of Winter (PS4),Arcade Distillery,2020.0,2020-01-22,Arcade Distillery,"Strategy, Turn Based",,683.0,Digital only,,1-2,0,0,
54,6937,War Thunder (JP) (PS4),EXNOA,2017.0,2017-04-27,Gaijin Entertainment,"Aerial, Vehicular Combat",Transferable Progress,17141.76,Digital only,PlayStation Camera Compatible,nan,0,0,http://warthunder.dmm.com/lp
55,3743,War Thunder (PS4),Gaijin Entertainment,2014.0,2014-06-03,Gaijin Entertainment,"Aerial, Vehicular Combat","Cross-Play, Transferable Progress",7372.8,Digital only,,nan,0,0,https://warthunder.com/
56,10236,Warborn,PQube,2020.0,2020-06-12,Raredrop Games,"Mech, Strategy, Turn Based",,1679.36,Digital only,,nan,0,0,https://raredropgames.com/warborn/
57,7883,Warbot,Shanghai Lusion Computer Software,2018.0,2018-12-11,Shanghai Lusion Computer Software,Fighting,,835.0,Digital only,"PlayStation VR Required, PlayStation Camera Required, PlayStation Move Required",nan,0,0,
58,12237,WarDogs: Red's Return,QUByte Interactive,2021.0,2021-04-29,Mito Games,Beat 'em up,,NA,Digital only,,4-5,0,0,https://www.qubyteinteractive.com/games/wardogs/
59,7400,Warface,MY.GAMES,2018.0,2018-09-18,Crytek,"Battle Royale, First Person Shooter",,9697.28,Digital only,PS4 Pro,nan,0,0,https://wf.my.com/en/?_1lr=0-2520740_2008924
60,10169,Warface: Breakout,MY.GAMES,2020.0,2020-05-26,"Crytek, MY.GAMES",First Person Shooter,Transferable Progress,9420.8,Digital only,,nan,0,0,https://playbreakout.com/en
61,10170,Warface: Breakout (EU),MY.GAMES,2020.0,2020-05-26,"Crytek, MY.GAMES",First Person Shooter,Transferable Progress,9420.8,Digital only,,nan,0,0,https://playbreakout.com/en
62,3805,Warframe (CN) (PS4),Perfect World Games,2015.0,2015-11-26,Digital Extremes,"Action-RPG, Role Playing, Third Person Shooter, MMO",,NA,Digital only,,nan,0,0,http://wf.mytvgame.com/
