gameid,name,web,publisher,developer,release,platform,genre,hardware,notes,medium,size,completion est,links,features
5530,Q,http://liica.co.jp/contents/q/jp/x.html,liica,"liica, OrangeBox",26 June 2015,Xbox One,Puzzle,Kinect Enabled,ID@Xbox,Digital only,515MB,80-100 hours,Official site,
5819,Q*bert REBOOTED: The XBOX One @!#?@! Edition,,GPC,LOOT Interactive,12 February 2016,"Xbox One, Xbox Series X|S",Action,,ID@Xbox,Digital only,501MB,,,
6951,Q.U.B.E. 2,https://www.toxicgames.co.uk/qube2/,Trapped Nerve Games,Toxic Games,13 March 2018,"Xbox One, Xbox Series X|S","Puzzle, Platformer",,ID@Xbox,Digital only,2.73GB,6-8 hours,Official site,"Xbox One X Enhanced, 4K"
5561,Q.U.B.E. Director's Cut,http://qube-game.com/,GRIP Digital,"Toxic Games, GRIP Digital",24 July 2015,"Xbox One, Xbox Series X|S","Puzzle, Platformer",,ID@Xbox,Digital only,1.28GB,4-5 hours,Official site,
9781,Quake,,Bethesda Softworks,"MachineGames, Nightdive Studios, id Software",19 August 2021,"Xbox One, Xbox Series X|S, Windows (Windows 10+)",First Person Shooter,64-Bit,"xCloud, Xbox Game Pass, Xbox Game Pass for PC",Digital only,1.25GB,2-3 hours,,"Smart Delivery, Optimized for Series X|S, 4K, Cross-Play"
6896,Quantic Pinball,,Plug In Digital,Shine Research,09 February 2018,"Xbox One, Xbox Series X|S",Pinball,,ID@Xbox,Digital only,350MB,3-4 hours,,
5907,Quantum Break,https://www.remedygames.com/games/quantumbreak/,Xbox Game Studios,Remedy Entertainment,05 April 2016,"Xbox One, Xbox Series X|S, Windows (Windows 10+)",Third Person Shooter,64-Bit,Xbox Game Pass,Physical and Digital,102.56GB,15-20 hours,Official site,Xbox One X Enhanced
-4055,Quantum League,https://quantum-league.com/,,,,,,,,,,,Official site,
9278,Quantum Replica,http://pqube.co.uk/quantum-replica/,PQube,ON3D Studios,14 May 2021,"Xbox One, Xbox Series X|S",Stealth,,ID@Xbox,Digital only,5.09GB,,Official site,
5520,Quantum Rush: Champions,http://www.quantum-rush.net/,GameArt Studio,GameArt Studio,19 June 2015,"Xbox One, Xbox Series X|S",Arcade Racing,,ID@Xbox,Digital only,1.43GB,,Official site,
